epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.062,1.79706,3.51533,1.64454,0.00221,0.57318,0.10148,0.03759,2.16203,4.67539,1.98303,0.000547247,0.000547247,0.000547247
2,486.432,2.03294,3.30275,1.81447,0.13267,0.33956,0.09985,0.03446,2.45739,6.84594,2.57416,0.001092,0.001092,0.001092
3,724.212,2.05406,3.02396,1.85303,0.17665,0.22374,0.09963,0.03457,2.42894,5.12189,2.38331,0.00162574,0.00162574,0.00162574
4,961.785,2.04553,2.81783,1.84485,0.09029,0.12994,0.08522,0.03148,2.52016,3.51174,2.35951,0.00161749,0.00161749,0.00161749
5,1199.5,2.04544,2.70361,1.84403,0.23205,0.32999,0.17325,0.06136,2.19989,3.52089,2.09744,0.00160099,0.00160099,0.00160099
6,1437.74,1.98097,2.52688,1.80564,0.19734,0.25795,0.16705,0.05889,2.31577,3.54539,2.1511,0.00158448,0.00158448,0.00158448
7,1676.87,1.97979,2.39411,1.76274,0.25454,0.33276,0.19155,0.07526,2.30284,3.18103,2.0486,0.00156798,0.00156798,0.00156798
8,1916.43,1.95284,2.34328,1.7235,0.32662,0.35923,0.23155,0.08374,2.26007,2.7563,2.04528,0.00155148,0.00155148,0.00155148
9,2156.41,1.89206,2.30965,1.72078,0.32499,0.25631,0.22831,0.08603,2.22676,3.1127,2.08637,0.00153497,0.00153497,0.00153497
10,2396.67,1.85631,2.19887,1.73138,0.38553,0.31967,0.27312,0.10916,2.09002,2.42401,1.92716,0.00151847,0.00151847,0.00151847
11,2636.74,1.85228,2.09928,1.66169,0.38153,0.36935,0.29541,0.10341,2.16866,2.48685,1.98147,0.00150197,0.00150197,0.00150197
12,2875.71,1.87759,2.20113,1.69441,0.36339,0.33956,0.2657,0.10896,2.09509,2.519,1.98271,0.00148546,0.00148546,0.00148546
13,3115.04,1.8406,2.17838,1.65989,0.38848,0.2997,0.29366,0.11568,2.02614,2.41559,1.85177,0.00146896,0.00146896,0.00146896
14,3355.31,1.73866,2.07865,1.64127,0.42269,0.33048,0.2977,0.11996,2.07261,2.4137,1.92316,0.00145246,0.00145246,0.00145246
15,3594.86,1.77136,2.00119,1.61352,0.38049,0.36358,0.31899,0.13123,2.04702,2.23436,1.92009,0.00143595,0.00143595,0.00143595
16,3852.82,1.76519,1.99805,1.59618,0.44313,0.35342,0.31866,0.12886,2.06533,2.30124,1.86612,0.00141945,0.00141945,0.00141945
17,4185.47,1.75336,1.9598,1.60919,0.47334,0.32933,0.3095,0.12379,2.00126,2.30841,1.86612,0.00140295,0.00140295,0.00140295
18,4518.37,1.74295,1.95218,1.57899,0.38634,0.36394,0.30899,0.11561,2.17258,2.29629,2.01963,0.00138644,0.00138644,0.00138644
19,5019.83,1.73793,1.94007,1.60232,0.48147,0.40834,0.38942,0.17001,2.02895,2.06022,1.8595,0.00136994,0.00136994,0.00136994
20,5587.42,1.71428,1.88051,1.57852,0.4686,0.4173,0.3779,0.15622,2.08521,2.22693,1.92941,0.00135344,0.00135344,0.00135344
21,6019.92,1.68699,1.8426,1.54116,0.43945,0.43252,0.40322,0.19142,1.97083,2.04817,1.78659,0.00133693,0.00133693,0.00133693
22,6529.01,1.70314,1.87021,1.5802,0.58019,0.35263,0.3917,0.16465,2.01831,2.19811,1.86879,0.00132043,0.00132043,0.00132043
23,7077.3,1.69421,1.81943,1.55427,0.42668,0.4326,0.38387,0.16437,2.0133,2.16519,1.84351,0.00130393,0.00130393,0.00130393
24,7426.63,1.66336,1.85787,1.55408,0.432,0.39683,0.34375,0.15569,2.03435,2.64982,1.90401,0.00128742,0.00128742,0.00128742
25,7719.49,1.64396,1.83669,1.53833,0.41183,0.40401,0.33269,0.13988,2.08176,2.19081,1.8446,0.00127092,0.00127092,0.00127092
26,7990.85,1.61753,1.75439,1.50758,0.46665,0.42478,0.41793,0.17822,2.06743,1.98106,1.86865,0.00125442,0.00125442,0.00125442
27,8246.19,1.63452,1.78099,1.53085,0.53529,0.38878,0.39606,0.18579,1.95976,2.11098,1.75963,0.00123791,0.00123791,0.00123791
28,8493.9,1.63969,1.78309,1.50941,0.46063,0.41588,0.38531,0.17204,1.99836,2.00157,1.81747,0.00122141,0.00122141,0.00122141
29,8742.84,1.60698,1.75642,1.50792,0.44674,0.38915,0.36929,0.15403,2.13141,2.1513,1.94862,0.00120491,0.00120491,0.00120491
30,8994.53,1.64377,1.77424,1.52237,0.48967,0.46008,0.43913,0.19434,1.96154,2.05695,1.84436,0.0011884,0.0011884,0.0011884
31,9252.47,1.59389,1.67956,1.50504,0.50564,0.46825,0.4538,0.19929,1.96307,1.91357,1.81445,0.0011719,0.0011719,0.0011719
32,9506.94,1.62728,1.71303,1.49226,0.42739,0.42483,0.40319,0.1811,1.95563,2.08458,1.79242,0.0011554,0.0011554,0.0011554
33,9761.07,1.60719,1.71866,1.49592,0.54904,0.46621,0.4542,0.20539,1.88388,1.85687,1.75206,0.00113889,0.00113889,0.00113889
34,10019,1.57456,1.64485,1.47719,0.46803,0.4174,0.4105,0.18254,2.04112,2.07896,1.85687,0.00112239,0.00112239,0.00112239
35,10273.8,1.5541,1.62789,1.45443,0.50409,0.44722,0.43991,0.18795,1.97618,1.94132,1.82267,0.00110589,0.00110589,0.00110589
36,10534.6,1.58185,1.66761,1.47296,0.58734,0.449,0.47804,0.21885,1.93709,1.85598,1.79517,0.00108938,0.00108938,0.00108938
37,10794.9,1.56102,1.60768,1.45932,0.56808,0.48131,0.49538,0.23008,1.92135,1.86671,1.77922,0.00107288,0.00107288,0.00107288
38,11053.1,1.55612,1.62906,1.4646,0.54742,0.4346,0.46007,0.20503,1.94118,1.96624,1.77223,0.00105638,0.00105638,0.00105638
39,11310.6,1.53256,1.5709,1.43398,0.54381,0.48171,0.50045,0.21574,1.89027,1.85812,1.73973,0.00103987,0.00103987,0.00103987
40,11564.9,1.51598,1.52931,1.4241,0.52179,0.43607,0.44357,0.20506,1.94699,2.01957,1.7774,0.00102337,0.00102337,0.00102337
41,11823.5,1.52943,1.58227,1.44373,0.50045,0.44847,0.41897,0.18301,2.01752,1.93553,1.82421,0.00100687,0.00100687,0.00100687
